sgRNA	Gene	T0_rep1	T0_rep2	T12_rep1	T12_rep2
A1CF_TSS1_-251_g1	A1CF	441	669	306	403
A1CF_TSS1_-94_g2	A1CF	345	460	519	359
A1CF_TSS1_+14_g3	A1CF	587	516	417	424
A1CF_TSS1_+159_g4	A1CF	764	538	575	670
A1CF_TSS1_+427_g5	A1CF	351	529	475	353
AAAS_TSS1_-238_g1	AAAS	1003	676	795	1028
AAAS_TSS1_-92_g2	AAAS	650	629	621	911
AAAS_TSS1_+14_g3	AAAS	475	453	555	489
AAAS_TSS1_+141_g4	AAAS	748	689	869	631
AAAS_TSS1_+400_g5	AAAS	810	516	747	565
AAK1_TSS1_-270_g1	AAK1	779	1212	1295	1327
AAK1_TSS1_-87_g2	AAK1	710	1012	940	841
AAK1_TSS1_+36_g3	AAK1	910	1082	1110	849
AAK1_TSS1_+154_g4	AAK1	1340	1420	1324	1082
AAK1_TSS1_+427_g5	AAK1	853	885	638	1182
AATF_TSS1_-269_g1	AATF	715	612	931	461
AATF_TSS1_-72_g2	AATF	797	730	1082	397
AATF_TSS1_+33_g3	AATF	566	505	324	361
AATF_TSS1_+156_g4	AATF	495	608	510	330
AATF_TSS1_+415_g5	AATF	487	632	426	517
AATK_TSS1_-253_g1	AATK	593	830	527	717
AATK_TSS1_-65_g2	AATK	575	460	606	663
AATK_TSS1_+41_g3	AATK	833	601	667	581
AATK_TSS1_+144_g4	AATK	672	782	1054	968
AATK_TSS1_+420_g5	AATK	481	554	433	418
ABCB8_TSS1_-235_g1	ABCB8	572	793	578	737
ABCB8_TSS1_-63_g2	ABCB8	540	645	811	595
ABCB8_TSS1_+42_g3	ABCB8	692	555	727	657
ABCB8_TSS1_+156_g4	ABCB8	796	1010	793	761
ABCB8_TSS1_+438_g5	ABCB8	898	868	822	744
ABCC1_TSS1_-267_g1	ABCC1	636	617	770	494
ABCC1_TSS1_-62_g2	ABCC1	688	537	850	1004
ABCC1_TSS1_+12_g3	ABCC1	889	624	457	531
ABCC1_TSS1_+145_g4	ABCC1	543	419	411	419
ABCC1_TSS1_+418_g5	ABCC1	601	618	531	517
ABCF1_TSS1_-243_g1	ABCF1	372	215	283	252
ABCF1_TSS1_-73_g2	ABCF1	279	395	243	226
ABCF1_TSS1_+45_g3	ABCF1	223	172	285	141
ABCF1_TSS1_+166_g4	ABCF1	204	178	184	306
ABCF1_TSS1_+411_g5	ABCF1	247	324	213	316
ABHD14B_TSS1_-256_g1	ABHD14B	769	1132	614	1206
ABHD14B_TSS1_-90_g2	ABHD14B	565	673	933	667
ABHD14B_TSS1_+34_g3	ABHD14B	1084	950	1041	625
ABHD14B_TSS1_+159_g4	ABHD14B	969	878	1043	780
ABHD14B_TSS1_+438_g5	ABHD14B	792	652	604	1021
ABI1_TSS1_-265_g1	ABI1	990	785	722	711
ABI1_TSS1_-92_g2	ABI1	640	540	1038	431
ABI1_TSS1_+34_g3	ABI1	597	624	582	676
ABI1_TSS1_+169_g4	ABI1	546	922	616	601
ABI1_TSS1_+430_g5	ABI1	530	963	762	1156
ABL1_TSS1_-250_g1	ABL1	678	874	606	754
ABL1_TSS1_-73_g2	ABL1	536	599	404	601
ABL1_TSS1_+7_g3	ABL1	872	1138	788	772
ABL1_TSS1_+138_g4	ABL1	794	869	685	524
ABL1_TSS1_+424_g5	ABL1	561	645	639	688
ABL2_TSS1_-231_g1	ABL2	316	306	378	320
ABL2_TSS1_-78_g2	ABL2	312	314	201	287
ABL2_TSS1_+37_g3	ABL2	334	268	266	287
ABL2_TSS1_+154_g4	ABL2	156	326	168	290
ABL2_TSS1_+419_g5	ABL2	169	165	200	307
ABLIM2_TSS1_-250_g1	ABLIM2	395	564	538	586
ABLIM2_TSS1_-68_g2	ABLIM2	345	529	297	643
ABLIM2_TSS1_+43_g3	ABLIM2	610	388	355	462
ABLIM2_TSS1_+159_g4	ABLIM2	707	586	553	650
ABLIM2_TSS1_+413_g5	ABLIM2	427	477	446	463
ABT1_TSS1_-232_g1	ABT1	949	859	809	759
ABT1_TSS1_-72_g2	ABT1	798	746	714	828
ABT1_TSS1_+36_g3	ABT1	777	793	453	581
ABT1_TSS1_+131_g4	ABT1	942	949	627	520
ABT1_TSS1_+422_g5	ABT1	544	491	402	510
ABTB1_TSS1_-251_g1	ABTB1	1075	820	738	1062
ABTB1_TSS1_-89_g2	ABTB1	450	690	474	527
ABTB1_TSS1_+41_g3	ABTB1	838	864	782	735
ABTB1_TSS1_+158_g4	ABTB1	638	671	410	553
ABTB1_TSS1_+404_g5	ABTB1	458	737	620	605
ACAD11_TSS1_-230_g1	ACAD11	553	423	279	289
ACAD11_TSS1_-95_g2	ACAD11	475	473	473	484
ACAD11_TSS1_+27_g3	ACAD11	381	579	396	221
ACAD11_TSS1_+162_g4	ACAD11	350	276	310	319
ACAD11_TSS1_+433_g5	ACAD11	310	325	529	260
ACAD9_TSS1_-268_g1	ACAD9	406	675	366	595
ACAD9_TSS1_-100_g2	ACAD9	555	549	496	573
ACAD9_TSS1_+7_g3	ACAD9	440	616	357	394
ACAD9_TSS1_+163_g4	ACAD9	530	307	238	320
ACAD9_TSS1_+412_g5	ACAD9	507	456	553	489
ACAT2_TSS1_-234_g1	ACAT2	479	377	447	670
ACAT2_TSS1_-97_g2	ACAT2	626	801	831	665
ACAT2_TSS1_+36_g3	ACAT2	419	864	559	1032
ACAT2_TSS1_+160_g4	ACAT2	537	699	609	510
ACAT2_TSS1_+428_g5	ACAT2	337	453	501	424
ACBD6_TSS1_-237_g1	ACBD6	736	497	798	482
ACBD6_TSS1_-63_g2	ACBD6	888	608	1179	789
ACBD6_TSS1_+13_g3	ACBD6	815	1101	1024	935
ACBD6_TSS1_+150_g4	ACBD6	1054	650	670	1058
ACBD6_TSS1_+414_g5	ACBD6	783	802	1015	669
ACD_TSS1_-267_g1	ACD	393	345	412	301
