sgRNA	Gene	DMSO_rep1	DMSO_rep2	Drug_rep1	Drug_rep2
A1CF_TSS1_-368_g1	A1CF	363	391	486	259
A1CF_TSS1_-240_g2	A1CF	420	362	364	363
A1CF_TSS1_-135_g3	A1CF	314	273	338	278
A1CF_TSS1_+30_g4	A1CF	431	582	301	417
A1CF_TSS1_+168_g5	A1CF	289	390	400	406
AAAS_TSS1_-367_g1	AAAS	123	128	230	189
AAAS_TSS1_-209_g2	AAAS	118	136	120	158
AAAS_TSS1_-144_g3	AAAS	122	124	156	140
AAAS_TSS1_+46_g4	AAAS	167	145	213	149
AAAS_TSS1_+171_g5	AAAS	160	126	163	123
AAK1_TSS1_-332_g1	AAK1	558	523	420	669
AAK1_TSS1_-208_g2	AAK1	433	409	305	364
AAK1_TSS1_-124_g3	AAK1	561	966	586	601
AAK1_TSS1_+31_g4	AAK1	653	926	713	716
AAK1_TSS1_+170_g5	AAK1	674	688	925	366
AATF_TSS1_-330_g1	AATF	219	366	294	310
AATF_TSS1_-232_g2	AATF	291	435	292	222
AATF_TSS1_-113_g3	AATF	399	411	296	272
AATF_TSS1_+15_g4	AATF	264	327	208	212
AATF_TSS1_+203_g5	AATF	301	305	233	252
AATK_TSS1_-368_g1	AATK	413	436	366	451
AATK_TSS1_-226_g2	AATK	339	306	596	463
AATK_TSS1_-125_g3	AATK	306	356	591	490
AATK_TSS1_+43_g4	AATK	297	160	246	120
AATK_TSS1_+179_g5	AATK	231	283	248	217
ABCB8_TSS1_-333_g1	ABCB8	441	382	1669	1366
ABCB8_TSS1_-237_g2	ABCB8	297	369	819	842
ABCB8_TSS1_-130_g3	ABCB8	442	373	1562	1870
ABCB8_TSS1_+55_g4	ABCB8	341	356	297	268
ABCB8_TSS1_+156_g5	ABCB8	339	450	262	480
ABCC1_TSS1_-342_g1	ABCC1	880	634	321	653
ABCC1_TSS1_-221_g2	ABCC1	423	705	991	519
ABCC1_TSS1_-140_g3	ABCC1	1041	490	1062	898
ABCC1_TSS1_+23_g4	ABCC1	771	677	759	835
ABCC1_TSS1_+194_g5	ABCC1	724	866	1348	973
ABCF1_TSS1_-365_g1	ABCF1	308	325	617	280
ABCF1_TSS1_-198_g2	ABCF1	294	301	429	491
ABCF1_TSS1_-108_g3	ABCF1	304	463	235	325
ABCF1_TSS1_+42_g4	ABCF1	457	369	420	520
ABCF1_TSS1_+190_g5	ABCF1	560	554	861	568
ABHD14B_TSS1_-345_g1	ABHD14B	512	334	449	351
ABHD14B_TSS1_-230_g2	ABHD14B	430	501	380	422
ABHD14B_TSS1_-137_g3	ABHD14B	579	516	435	947
ABHD14B_TSS1_+40_g4	ABHD14B	451	548	863	420
ABHD14B_TSS1_+156_g5	ABHD14B	277	251	258	355
ABI1_TSS1_-345_g1	ABI1	788	984	780	1008
