sgRNA	Gene	T0_rep1	T0_rep2	DMSO_rep1	DMSO_rep2	Drug_rep1	Drug_rep2	DrugHi_rep1	DrugHi_rep2
AAAS_sg1	AAAS	176	281	327	296	182	395	226	221
AAAS_sg2	AAAS	260	242	268	184	142	147	226	231
AAAS_sg3	AAAS	222	221	452	215	181	124	192	216
AAAS_sg4	AAAS	255	323	199	387	303	291	268	235
AAK1_sg1	AAK1	900	1663	522	823	842	1223	847	1166
AAK1_sg2	AAK1	930	851	1468	1091	1168	865	988	833
AAK1_sg3	AAK1	724	1314	1237	801	1000	408	1207	812
AAK1_sg4	AAK1	1308	1024	931	996	586	760	693	868
AATF_sg1	AATF	643	1051	536	997	775	1029	669	779
AATF_sg2	AATF	897	773	1071	804	1437	1286	1350	1152
AATF_sg3	AATF	892	868	849	948	759	1261	792	895
AATF_sg4	AATF	718	595	924	946	1404	1102	838	1039
AATK_sg1	AATK	448	560	485	773	566	827	423	606
AATK_sg2	AATK	640	498	513	634	660	373	562	598
AATK_sg3	AATK	671	501	554	553	606	502	1300	818
AATK_sg4	AATK	701	476	392	773	364	750	454	343
ABCC1_sg1	ABCC1	548	590	590	464	464	511	544	343
ABCC1_sg2	ABCC1	325	540	784	366	353	588	402	361
ABCC1_sg3	ABCC1	229	291	390	467	380	332	466	467
ABCC1_sg4	ABCC1	441	709	353	443	354	458	474	378
ABHD14B_sg1	ABHD14B	1217	944	457	706	833	635	1152	941
ABHD14B_sg2	ABHD14B	509	1056	1042	850	957	573	1056	1390
ABHD14B_sg3	ABHD14B	702	762	942	675	679	707	1090	879
ABHD14B_sg4	ABHD14B	661	851	771	915	523	906	889	1110
ABTB1_sg1	ABTB1	940	609	607	578	687	438	382	599
ABTB1_sg2	ABTB1	568	917	419	585	249	400	526	376
ABTB1_sg3	ABTB1	500	794	859	977	737	648	574	460
ABTB1_sg4	ABTB1	470	834	841	501	359	444	596	433
ACAD9_sg1	ACAD9	446	311	390	610	432	291	333	445
ACAD9_sg2	ACAD9	330	441	405	360	521	336	230	350
ACAD9_sg3	ACAD9	353	285	340	455	431	386	301	291
ACAD9_sg4	ACAD9	671	368	275	459	618	571	414	285
ACAT2_sg1	ACAT2	231	298	288	317	391	185	493	273
ACAT2_sg2	ACAT2	180	313	289	260	292	482	206	193
ACAT2_sg3	ACAT2	469	291	222	199	423	400	316	215
ACAT2_sg4	ACAT2	201	190	223	326	356	173	308	187
ACD_sg1	ACD	248	571	605	288	418	326	379	407
ACD_sg2	ACD	431	345	333	432	309	328	215	306
ACD_sg3	ACD	397	350	551	374	362	343	317	264
ACD_sg4	ACD	373	420	298	410	347	350	296	223
ACHE_sg1	ACHE	196	276	298	190	180	175	188	308
ACHE_sg2	ACHE	193	314	215	206	262	242	126	154
ACHE_sg3	ACHE	247	199	201	167	245	259	240	157
ACHE_sg4	ACHE	218	205	237	212	140	232	129	189
ACLY_sg1	ACLY	1387	649	1000	1502	907	1106	908	1739
ACLY_sg2	ACLY	724	1577	855	745	782	726	1355	1231
ACLY_sg3	ACLY	1200	1287	771	1517	1205	1078	1131	2043
ACLY_sg4	ACLY	885	988	1029	1263	1203	1078	1731	1159
ACO2_sg1	ACO2	697	559	678	460	1007	960	572	613
ACO2_sg2	ACO2	521	551	595	586	638	693	504	593
ACO2_sg3	ACO2	402	423	503	564	441	324	360	466
ACO2_sg4	ACO2	704	612	711	488	376	600	526	518
ACP1_sg1	ACP1	173	127	157	284	209	146	124	177
ACP1_sg2	ACP1	261	187	210	116	190	179	142	219
ACP1_sg3	ACP1	217	233	272	153	226	142	128	200
ACP1_sg4	ACP1	188	223	176	170	157	152	155	144
ACTL6B_sg1	ACTL6B	410	844	678	430	875	395	807	579
ACTL6B_sg2	ACTL6B	623	792	450	589	782	848	986	531
ACTL6B_sg3	ACTL6B	808	568	719	573	836	759	766	721
ACTL6B_sg4	ACTL6B	811	626	781	838	798	584	862	514
ACTN1_sg1	ACTN1	1202	1287	1353	893	1249	800	1044	1412
ACTN1_sg2	ACTN1	1075	1152	1172	1124	1212	1555	968	2253
ACTN1_sg3	ACTN1	1046	858	609	891	809	1220	674	1363
ACTN1_sg4	ACTN1	844	890	732	1112	1035	399	779	936
ACTR1A_sg1	ACTR1A	584	1206	710	735	724	532	590	542
ACTR1A_sg2	ACTR1A	755	756	632	410	623	530	513	718
ACTR1A_sg3	ACTR1A	632	712	567	803	661	681	593	563
ACTR1A_sg4	ACTR1A	501	521	601	734	461	564	601	520
ACTR3_sg1	ACTR3	1344	1070	1185	1067	1000	976	963	1177
ACTR3_sg2	ACTR3	984	1406	1383	1053	736	1424	1015	789
ACTR3_sg3	ACTR3	1174	857	905	1260	1332	851	957	1039
ACTR3_sg4	ACTR3	1939	1756	1574	1717	1053	1360	1042	1380
ACTR8_sg1	ACTR8	993	965	1216	1160	1564	899	1326	1004
ACTR8_sg2	ACTR8	950	991	1179	779	841	1265	835	679
ACTR8_sg3	ACTR8	611	1089	991	667	1083	808	1103	1311
ACTR8_sg4	ACTR8	1268	1345	944	871	810	1041	1037	986
ACTRT3_sg1	ACTRT3	577	407	396	430	415	371	341	267
ACTRT3_sg2	ACTRT3	626	399	369	300	213	212	325	226
ACTRT3_sg3	ACTRT3	423	312	313	243	387	403	278	354
ACTRT3_sg4	ACTRT3	453	541	421	532	425	438	342	418
ADAD1_sg1	ADAD1	662	454	596	390	648	508	572	656
ADAD1_sg2	ADAD1	610	633	447	531	451	248	518	450
ADAD1_sg3	ADAD1	716	566	758	418	534	449	627	824
ADAD1_sg4	ADAD1	418	358	637	680	686	504	742	623
ADAM10_sg1	ADAM10	250	371	262	347	293	165	430	259
ADAM10_sg2	ADAM10	275	217	197	191	181	305	262	208
ADAM10_sg3	ADAM10	217	221	210	124	196	192	257	188
ADAM10_sg4	ADAM10	160	222	235	192	338	257	216	327
ADAM12_sg1	ADAM12	609	660	715	544	759	525	665	661
ADAM12_sg2	ADAM12	707	815	1082	949	932	912	739	622
ADAM12_sg3	ADAM12	1046	692	490	563	670	482	673	663
ADAM12_sg4	ADAM12	510	679	656	461	664	480	516	963
ADAMTS5_sg1	ADAMTS5	732	637	664	366	380	424	300	709
ADAMTS5_sg2	ADAMTS5	635	524	342	556	736	458	394	553
ADAMTS5_sg3	ADAMTS5	483	448	400	457	449	410	339	443
ADAMTS5_sg4	ADAMTS5	512	500	431	738	768	547	495	315
ADAP1_sg1	ADAP1	186	253	239	158	218	178	217	211
ADAP1_sg2	ADAP1	265	243	421	206	242	318	235	211
ADAP1_sg3	ADAP1	305	167	249	171	198	273	187	190
ADAP1_sg4	ADAP1	172	285	196	180	231	142	138	238
ADCK3_sg1	ADCK3	396	360	359	487	288	518	354	339
ADCK3_sg2	ADCK3	209	344	660	324	318	364	262	366
ADCK3_sg3	ADCK3	213	395	322	436	577	348	266	267
ADCK3_sg4	ADCK3	359	441	662	455	431	427	892	417
ADCK4_sg1	ADCK4	986	861	920	731	683	770	490	790
ADCK4_sg2	ADCK4	707	774	620	842	653	442	512	437
ADCK4_sg3	ADCK4	1115	1512	1474	738	639	1038	1278	758
ADCK4_sg4	ADCK4	787	1201	1276	1302	901	729	877	1108
ADCY1_sg1	ADCY1	870	792	1229	992	1256	1119	868	989
ADCY1_sg2	ADCY1	869	803	837	919	1507	1134	1058	1141
ADCY1_sg3	ADCY1	959	703	663	1304	1311	1564	1126	867
ADCY1_sg4	ADCY1	848	1121	978	1200	786	1542	885	712
ADH5_sg1	ADH5	487	401	587	515	624	430	585	612
ADH5_sg2	ADH5	450	545	409	486	563	371	503	603
ADH5_sg3	ADH5	606	571	398	507	543	298	527	352
ADH5_sg4	ADH5	498	523	493	620	465	634	581	619
ADNP_sg1	ADNP	1089	716	917	879	607	1611	950	693
ADNP_sg2	ADNP	984	1060	1030	861	1087	544	1027	543
ADNP_sg3	ADNP	873	856	1197	902	617	823	941	938
ADNP_sg4	ADNP	698	581	505	805	797	685	780	607
ADNP2_sg1	ADNP2	644	749	780	985	777	840	1000	1232
ADNP2_sg2	ADNP2	1060	948	879	771	723	644	746	1168
ADNP2_sg3	ADNP2	710	434	1176	950	863	852	876	943
ADNP2_sg4	ADNP2	1597	1266	1081	1197	1187	1398	2019	1506
ADPRHL2_sg1	ADPRHL2	648	1043	731	858	843	919	607	702
ADPRHL2_sg2	ADPRHL2	378	561	605	505	300	527	637	624
ADPRHL2_sg3	ADPRHL2	469	563	691	1020	625	528	632	611
ADPRHL2_sg4	ADPRHL2	694	641	818	485	775	489	708	1072
ADRA1A_sg1	ADRA1A	910	937	825	594	920	675	824	578
ADRA1A_sg2	ADRA1A	901	927	540	711	709	645	986	758
ADRA1A_sg3	ADRA1A	783	783	589	630	1124	744	938	811
ADRA1A_sg4	ADRA1A	583	634	556	391	614	794	495	677
ADRB1_sg1	ADRB1	842	783	616	439	776	1021	784	877
ADRB1_sg2	ADRB1	846	843	532	549	664	644	777	665
ADRB1_sg3	ADRB1	588	591	351	714	688	769	764	591
ADRB1_sg4	ADRB1	715	710	779	711	565	680	798	692
ADRB3_sg1	ADRB3	974	609	1043	698	892	574	575	713
ADRB3_sg2	ADRB3	580	555	649	317	404	714	826	322
ADRB3_sg3	ADRB3	1395	1402	972	934	1276	642	656	669
ADRB3_sg4	ADRB3	1003	833	698	902	593	863	719	504
ADRBK1_sg1	ADRBK1	1071	867	1026	1042	784	562	713	731
ADRBK1_sg2	ADRBK1	1248	800	609	706	1340	1065	986	1168
ADRBK1_sg3	ADRBK1	1037	655	707	671	1046	822	814	1106
ADRBK1_sg4	ADRBK1	805	618	657	796	939	745	711	601
ADRBK2_sg1	ADRBK2	1465	720	909	1039	702	1433	896	931
ADRBK2_sg2	ADRBK2	900	1081	1025	951	1021	997	980	1439
ADRBK2_sg3	ADRBK2	1336	972	996	1022	1325	1343	963	1181
ADRBK2_sg4	ADRBK2	1006	1072	1145	1167	720	1026	1136	1097
AEBP2_sg1	AEBP2	315	333	281	387	284	198	285	219
AEBP2_sg2	AEBP2	521	436	579	276	443	378	472	200
AEBP2_sg3	AEBP2	333	344	289	306	290	204	316	376
AEBP2_sg4	AEBP2	348	354	401	402	295	337	456	377
